target,status,val_mae,val_rmse,val_mape,val_wape,val_f1,val_auc,test_mae,test_rmse,test_mape,test_wape,test_f1,test_auc
chp_gen,OK,3562.85,7860.08,54.1502,6.52,0.3587,0.2673,9655.78,19051.45,304.1432,13.8,0.0,-1.0
chp_heat_P,OK,5760.87,12527.19,50.6735,6.42,0.3802,0.3079,15297.74,29235.92,102.4996,13.27,0.0,-1.0
cool_P,OK,3349.31,5743.34,15.2224,6.17,0.4066,0.6675,3862.7,22185.63,18.2328,11.75,0.0,-1.0
cool_elec_P,OK,1712.29,2742.64,12.695,6.81,0.3864,0.6637,1434.19,2745.98,18.1352,9.59,0.0,-1.0
grid_P,OK,23773.55,45313.45,23.2479,16.6,0.3437,0.5438,30295.19,49912.65,41.26,25.61,0.0,-1.0
heat_P,OK,25339.54,34059.37,117.3999,10.24,0.3678,0.5187,22904.5,33677.88,157.8355,11.78,0.0,-1.0
pv_gen,OK,8871.16,19954.88,71.6408,11.54,0.3541,0.6324,7745.54,16278.77,56.8156,10.31,0.0,-1.0
