experiment,run_id,run_name,meter_urn,val_auc,val_f1,val_precision,val_recall,val_mae,val_mape,test_mae,test_mape,artifacts
647500970444605053,053fac190b724c3e949e8309e5751e25,053fac190b724c3e949e8309e5751e25,H2.Z361,0.645871171678729,0.3672581185135588,0.2535243817887682,0.6660595021250759,10059.268314019488,26.988500550389123,9844.916503287206,42.83193735923299,
647500970444605053,0967c04f39174c66a7a696e5fdde69ce,0967c04f39174c66a7a696e5fdde69ce,H2.T.Z30,0.48842434454026873,0.25992414664981034,0.22270363951473138,0.31208257437765635,1071.2605131073553,6.344519517394296,1168.8519729365073,7.010814974245701,
647500970444605053,0ccd2fb21e1a49bcac3444af24c6e2c8,0ccd2fb21e1a49bcac3444af24c6e2c8,H2.T.Z32,0.5312935756563353,0.3162024323264025,0.23355549116198204,0.4893746205221615,534.8868972447879,8.387108472753908,537.2656337021203,8.065216654546473,
647500970444605053,15ad72b541f84dbaa1c812a9726b2081,15ad72b541f84dbaa1c812a9726b2081,H1.W11,0.49126449129285776,0.29611542730299667,0.23337998600419874,0.4049787492410443,32372.970470427128,163.16103458706218,33639.2905683253,1710.4978028005792,
647500970444605053,23f4fe339cd24c08a8979510b7ea2e17,23f4fe339cd24c08a8979510b7ea2e17,H1.K14,0.717503542522749,0.44415243101182655,0.39156626506024095,0.5130540376442015,5400.461262493744,581.3419184989294,4003.389748682731,114.8734421014048,
647500970444605053,2655f0391e55437ca418e00c7d1f60cc,2655f0391e55437ca418e00c7d1f60cc,H2.Z351,0.6279424388753403,0.3477036776350519,0.244796828543112,0.5998785670916819,9971.979361631753,27.385456249303207,10029.417647704857,25.709494975388324,
647500970444605053,2c9ff31364734b09b827e105258dc884,2c9ff31364734b09b827e105258dc884,H1.Z28,0.29933763470232083,0.2924773022049287,0.313848295059151,0.2738312082574378,10676.21253394262,47.85891811325568,16786.765009017672,67.14793351582604,
647500970444605053,317831b3f6b3471b88fc0f0c6f11f001,317831b3f6b3471b88fc0f0c6f11f001,H2.Z36,0.45622045982536247,0.3206205559146736,0.3427781617138908,0.30115361262902246,257.1699383859068,,285.07360241709466,,
647500970444605053,32f5ff8b681946a9bb2326fc9e47f68c,32f5ff8b681946a9bb2326fc9e47f68c,H1.Z11,0.7409549774578672,0.4475062000551116,0.40968718466195764,0.4930176077717061,1220.364296207608,250.21205421205332,1125.2710646664632,115.60758971596098,
647500970444605053,39448828fb5c41108c545e5bbf81683e,39448828fb5c41108c545e5bbf81683e,H1.Z24,0.6029995766920607,0.35841193244132485,0.2805631868131868,0.49605343047966,1180.2951368753336,63.67159419773517,355.99295899314706,82.30724635790365,
647500970444605053,3fc70cf41a8542a78d9a99a27e129bfe,3fc70cf41a8542a78d9a99a27e129bfe,H1.Z13,0.6501631727345911,0.3853944562899787,0.3434679334916865,0.43897996357012753,673.2457261515337,6.966253399291053,524.7841686169031,20.99032546944172,
647500970444605053,43bf25bc162943ac87a02c2625e63615,43bf25bc162943ac87a02c2625e63615,H2.Z311,0.636167745510944,0.375526490800266,0.29574022346368717,0.5142683667273831,32861.00061602292,3970.4524414180523,31364.496408612606,4197.802611497547,
647500970444605053,4c11dffefdd047d0b6e1c19c81fcb025,4c11dffefdd047d0b6e1c19c81fcb025,H1.Z15,0.3186994859456949,0.3057324840764331,0.3215003348961822,0.29143897996357016,24305.213104251467,101.17440502036834,38205.69567066563,59.83124117609818,
